|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|

|metrognome||artifact||||{^^^^}|when a spell or ability an opponent controls causes you to discard @, put four &^/&^ colorless gnome artifact creature tokens onto the battlefield.\{^^^^}, T: put a &^/&^ colorless gnome artifact creature token onto the battlefield.|

|graven dominator||creature||gargoyle|&^^^^/&^^^^|{^^^^WWWW}|flying\haunt\when @ enters the battlefield or the creature it haunts dies, each other creature has base power and toughness &^/&^ until end of turn.|

|vedalken certarch||creature||vedalken wizard|&^/&^|{UU}|metalcraft ~ T: tap target artifact, creature, or land. activate this ability only if you control three or more artifacts.|

|keldon halberdier||creature||human warrior|&^^^^/&^|{^^^^RR}|first strike\suspend &^^^^~{RR}|

|creakwood ghoul||creature||plant zombie|&^^^/&^^^|{^^^^BB}|{BGBG}: exile target card from a graveyard. you gain &^ life.|

|guard gomazoa||creature||jellyfish|&^/&^^^|{^^UU}|defender\flying\prevent all combat damage that would be dealt to @.|

|rootrunner||creature||spirit|&^^^/&^^^|{^^GGGG}|soulshift &^^^\{GGGG}, sacrifice @: put target land on top of its owner's library.|

|heal||instant||||{WW}|prevent the next &^ damage that would be dealt to target creature or player this turn.\draw a card at the beginning of the next turn's upkeep.|

|krosan archer||creature||centaur archer|&^^/&^^^|{^^^GG}|reach\{GG}, discard a card: @ gets +&/+&^^ until end of turn.|

|thelonite druid||creature||human cleric druid|&^/&^|{^^GG}|{^GG}, T, sacrifice a creature: forests you control become &^^/&^^^ creatures until end of turn. they're still lands.|

|phantasmal dragon||creature||dragon illusion|&^^^^^/&^^^^^|{^^UUUU}|flying\when @ becomes the target of a spell or ability, sacrifice it.|

|volcanic rambler||creature||elemental|&^^^^^^/&^^^^|{^^^^^RR}|{^^RR}: @ deals &^ damage to target player.|

|urborg panther||creature||nightstalker cat|&^^/&^^|{^^BB}|{BB}, sacrifice @: destroy target creature blocking @.\sacrifice a creature named feral shadow, a creature named breathstealer, and @: search your library for a card named spirit of the night and put that card onto the battlefield. then shuffle your library.|

|sawtooth loon||creature||bird|&^^/&^^|{^^WWUU}|flying\when @ enters the battlefield, return a white or blue creature you control to its owner's hand.\when @ enters the battlefield, draw two cards, then put two cards from your hand on the bottom of your library.|

|ugin's insight||sorcery||||{^^^UUUU}|scry X, where X is the highest converted mana cost among permanents you control, then draw three cards.|

|encrust||enchantment||aura||{^UUUU}|enchant artifact or creature\enchanted permanent doesn't untap during its controller's untap step and its activated abilities can't be activated.|

|life burst||instant||||{^WW}|target player gains &^^^^ life, then gains &^^^^ life for each card named @ in each graveyard.|

|excommunicate||sorcery||||{^^WW}|put target creature on top of its owner's library.|

|dormant sliver||creature||sliver|&^^/&^^|{^^GGUU}|all sliver creatures have defender.\all slivers have "when this permanent enters the battlefield, draw a card."|

|blinkmoth urn||artifact||||{^^^^^}|at the beginning of each player's precombat main phase, if @ is untapped, that player adds {^} to his or her mana pool for each artifact he or she controls.|

|drain power||sorcery||||{UUUU}|target player activates a mana ability of each land he or she controls. then put all mana from that player's mana pool into yours.|

|boomerang||instant||||{UUUU}|return target permanent to its owner's hand.|

|hammerheim deadeye||creature||giant warrior|&^^^/&^^^|{^^^RR}|echo {^^^^^RR}\when @ enters the battlefield, destroy target creature with flying.|

|cloud crusader||creature||human knight|&^^/&^^^|{^^WWWW}|flying\first strike|

|reckless brute||creature||ogre warrior|&^^^/&^|{^^RR}|haste\@ attacks each turn if able.|

|thought courier||creature||human wizard|&^/&^|{^UU}|T: draw a card, then discard a card.|

|refresh||instant||||{^^GG}|regenerate target creature.\draw a card.|

|channel harm||instant||||{^^^^^WW}|prevent all damage that would be dealt to you and permanents you control this turn by sources you don't control. if damage is prevented this way, you may have @ deal that much damage to target creature.|

|firestorm phoenix||creature||phoenix|&^^^/&^^|{^^^^RRRR}|flying\if @ would die, return @ to its owner's hand instead. until that player's next turn, that player plays with that card revealed in his or her hand and can't play it.|

|vivid crag||land|||||@ enters the battlefield tapped with two % counters on it.\T: add {RR} to your mana pool.\T, remove a % counter from @: add one mana of any color to your mana pool.\countertype % charge|

|street sweeper||artifact creature||construct|&^^^^/&^^^^^^|{^^^^^^}|whenever @ attacks, destroy all auras attached to target land.|

|altar of shadows||artifact||||{^^^^^^^}|at the beginning of your precombat main phase, add {BB} to your mana pool for each % counter on @.\{^^^^^^^}, T: destroy target creature. then put a % counter on @.\countertype % charge|

|korozda guildmage||creature||elf shaman|&^^/&^^|{BBGG}|{^BBGG}: target creature gets +&^/+&^ and gains intimidate until end of turn.\{^^BBGG}, sacrifice a nontoken creature: put X &^/&^ green saproling creature tokens onto the battlefield, where X is the sacrificed creature's toughness.|

|moonlight bargain||instant||||{^^^BBBB}|look at the top five cards of your library. for each card, put that card into your graveyard unless you pay &^^ life. then put the rest into your hand.|

|ivorytusk fortress||creature||elephant|&^^^^^/&^^^^^^^|{^^WWBBGG}|untap each creature you control with a +&^/+&^ counter on it during each other player's untap step.|

|power surge||enchantment||||{RRRR}|at the beginning of each player's upkeep, @ deals X damage to that player, where X is the number of untapped lands he or she controlled at the beginning of this turn.|

|crackling doom||instant||||{RRWWBB}|@ deals &^^ damage to each opponent. each opponent sacrifices a creature with the greatest power among creatures he or she controls.|

|llanowar augur||creature||elf shaman|&/&^^^|{GG}|sacrifice @: target creature gets +&^^^/+&^^^ and gains trample until end of turn. activate this ability only during your upkeep.|

|scroll rack||artifact||||{^^}|{^}, T: exile any number of cards from your hand face down. put that many cards from the top of your library into your hand. then look at the exiled cards and put them on top of your library in any order.|

|thorn thallid||creature||fungus|&^^/&^^|{^GGGG}|at the beginning of your upkeep, put a % counter on @.\remove three % counters from @: @ deals &^ damage to target creature or player.\countertype % spore|

|piper's melody||sorcery||||{GG}|shuffle any number of target creature cards from your graveyard into your library.|

|guttersnipe||creature||goblin shaman|&^^/&^^|{^^RR}|whenever you cast an instant or sorcery spell, @ deals &^^ damage to each opponent.|

|wild aesthir||creature||bird|&^/&^|{^^WW}|flying\first strike\{WWWW}: @ gets +&^^/+& until end of turn. activate this ability only once each turn.|

|benthic infiltrator||creature||eldrazi drone|&^/&^^^^|{^^UU}|devoid\ingest\@ can't be blocked.|

|kill shot||instant||||{^^WW}|destroy target attacking creature.|

|daunting defender||creature||human cleric|&^^^/&^^^|{^^^^WW}|if a source would deal damage to a cleric creature you control, prevent &^ of that damage.|

|krosan groundshaker||creature||beast|&^^^^^^/&^^^^^^|{^^^^GGGGGG}|{GG}: target beast creature gains trample until end of turn.|

|witherscale wurm||creature||wurm|&^^^^^^^^^/&^^^^^^^^^|{^^^^GGGG}|whenever @ blocks or becomes blocked by a creature, that creature gains wither until end of turn.\whenever @ deals damage to an opponent, remove all -&^/-&^ counters from it.|

|scourge of kher ridges||creature||dragon|&^^^^^^/&^^^^^^|{^^^^^^RRRR}|flying\{^RR}: @ deals &^^ damage to each creature without flying.\{^^^^^RR}: @ deals &^^^^^^ damage to each other creature with flying.|

|gaea's anthem||enchantment||||{^GGGG}|creatures you control get +&^/+&^.|

|sift through sands||instant||arcane||{^UUUU}|draw two cards, then discard a card.\if you've cast a spell named peer through depths and a spell named reach through mists this turn, you may search your library for a card named the unspeakable, put it onto the battlefield, then shuffle your library.|

|shimmering efreet||creature||efreet|&^^/&^^|{^^UU}|flying\phasing\whenever @ phases in, target creature phases out.|

|otherworld atlas||artifact||||{^^^^}|T: put a % counter on @.\T: each player draws a card for each % counter on @.\countertype % charge|

|lethal vapors||enchantment||||{^^BBBB}|whenever a creature enters the battlefield, destroy it.\{}: destroy @. you skip your next turn. any player may activate this ability.|

|searing rays||sorcery||||{^^RR}|choose a color. @ deals damage to each player equal to the number of creatures of that color that player controls.|

|relentless rats||creature||rat|&^^/&^^|{^BBBB}|@ gets +&^/+&^ for each other creature on the battlefield named @.\a deck can have any number of cards named @.|

|research assistant||creature||human wizard|&^/&^^^|{^UU}|{^^^UU}, T: draw a card, then discard a card.|

|meadowboon||creature||elemental|&^^^/&^^^|{^^WWWW}|evoke {^^^WW}\when @ leaves the battlefield, put a +&^/+&^ counter on each creature target player controls.|

|jasmine seer||creature||human wizard|&^/&^|{^^^WW}|{^^WW}, T: reveal any number of white cards in your hand. you gain &^^ life for each card revealed this way.|

|wing splicer||creature||human artificer|&^/&^|{^^^UU}|when @ enters the battlefield, put a &^^^/&^^^ colorless golem artifact creature token onto the battlefield.\golem creatures you control have flying.|

|soul net||artifact||||{^}|whenever a creature dies, you may pay {^}. if you do, you gain &^ life.|

|trygon predator||creature||beast|&^^/&^^^|{^GGUU}|flying\whenever @ deals combat damage to a player, you may destroy target artifact or enchantment that player controls.|

|dread warlock||creature||human wizard|&^^/&^^|{^BBBB}|@ can't be blocked except by black creatures.|

|cover of winter|snow|enchantment||||{^^WW}|cumulative upkeep {SS}\if a creature would deal combat damage to you and/or one or more creatures you control, prevent X of that damage, where X is the number of % counters on @.\{SS}: put an % counter on @.\countertype % age|

|ashen firebeast||creature||elemental beast|&^^^^^^/&^^^^^^|{^^^^^^RRRR}|{^RR}: @ deals &^ damage to each creature without flying.|

|capashen knight||creature||human knight|&^/&^|{^WW}|first strike\{^WW}: @ gets +&^/+& until end of turn.|

|homarid||creature||homarid|&^^/&^^|{^^UU}|@ enters the battlefield with a % counter on it.\at the beginning of your upkeep, put a % counter on @.\as long as there is exactly one % counter on @, it gets -&^/-&^.\as long as there are exactly three % counters on @, it gets +&^/+&^.\whenever there are four % counters on @, remove all % counters from it.\countertype % tide|

|kuldotha rebirth||sorcery||||{RR}|as an additional cost to cast @, sacrifice an artifact.\put three &^/&^ red goblin creature tokens onto the battlefield.|

|dreadwing||creature||zombie|&^/&^|{BB}|{^UURR}: @ gets +&^^^/+& and gains flying until end of turn.|

|rain of filth||instant||||{BB}|until end of turn, lands you control gain "sacrifice this land: add {BB} to your mana pool."|

|vine trellis||creature||plant wall|&/&^^^^|{^GG}|defender\T: add {GG} to your mana pool.|

|sigiled starfish||creature||starfish|&/&^^^|{^UU}|T: scry &^.|

|hundred~handed one||creature||giant|&^^^/&^^^^^|{^^WWWW}|vigilance\{^^^WWWWWW}: monstrosity &^^^.\as long as @ is monstrous, it has reach and can block an additional ninety~nine creatures each combat.|

|crushing pain||instant||arcane||{^RR}|@ deals &^^^^^^ damage to target creature that was dealt damage this turn.|

|reveillark||creature||elemental|&^^^^/&^^^|{^^^^WW}|flying\evoke {^^^^^WW}\when @ leaves the battlefield, return up to two target creature cards with power &^^ or less from your graveyard to the battlefield.|

|dark prophecy||enchantment||||{BBBBBB}|whenever a creature you control dies, you draw a card and you lose &^ life.|

|lightning reflexes||enchantment||aura||{^RR}|enchant creature\you may cast @ as though it had flash. if you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.\enchanted creature gets +&^/+& and has first strike.|

|contemplation||enchantment||||{^WWWW}|whenever you cast a spell, you gain &^ life.|

|final~sting faerie||creature||faerie assassin|&^^/&^^|{^^^BB}|flying\when @ enters the battlefield, destroy target creature that was dealt damage this turn.|

|gideon's avenger||creature||human soldier|&^^/&^^|{^WWWW}|whenever a creature an opponent controls becomes tapped, put a +&^/+&^ counter on @.|

|typhoid rats||creature||rat|&^/&^|{BB}|deathtouch|

|twilight shepherd||creature||angel|&^^^^^/&^^^^^|{^^^WWWWWW}|flying\vigilance\persist\when @ enters the battlefield, return to your hand all cards in your graveyard that were put there from the battlefield this turn.|

|lumengrid gargoyle||artifact creature||gargoyle|&^^^^/&^^^^|{^^^^^^}|flying|

|delay||instant||||{^UU}|uncast target spell. if the spell is uncasted this way, exile it with three % counters on it instead of putting it into its owner's graveyard. if it doesn't have suspend, it gains suspend.\countertype % time|

|havoc demon||creature||demon|&^^^^^/&^^^^^|{^^^^^BBBB}|flying\when @ dies, all creatures get -&^^^^^/-&^^^^^ until end of turn.|

|weatherseed elf||creature||elf|&^/&^|{GG}|T: target creature gains forestwalk until end of turn.|

|servant of volrath||creature||minion|&^^^/&^^^|{^^BB}|when @ leaves the battlefield, sacrifice a creature.|

|karona, false god|legendary|creature||avatar|&^^^^^/&^^^^^|{^WWUUBBRRGG}|haste\at the beginning of each player's upkeep, that player untaps @ and gains control of it.\whenever @ attacks, creatures of the creature type of your choice get +&^^^/+&^^^ until end of turn.|

|raven's crime||sorcery||||{BB}|retrace\target player discards a card.|

|shieldmage advocate||creature||human cleric|&^/&^^^|{^^WW}|T: return target card from an opponent's graveyard to his or her hand. prevent all damage that would be dealt to target creature or player this turn by a source of your choice.|

|yavimaya granger||creature||elf|&^^/&^^|{^^GG}|echo {^^GG}\when @ enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.|

|jeskai runemark||enchantment||aura||{^^UU}|enchant creature\enchanted creature gets +&^^/+&^^.\enchanted creature has flying as long as you control a red or white permanent.|

|street spasm||instant||||{XXRR}|overload {XXXXRRRR}\@ deals X damage to target creature without flying you don't control.|

|vicious shadows||enchantment||||{^^^^^^RR}|whenever a creature dies, you may have @ deal damage to target player equal to the number of cards in that player's hand.|

|pensive minotaur||creature||minotaur warrior|&^^/&^^^|{^^RR}||

|flame elemental||creature||elemental|&^^^/&^^|{^^RRRR}|{RR}, T, sacrifice @: @ deals damage equal to its power to target creature.|

|meekstone||artifact||||{^}|creatures with power &^^^ or greater don't untap during their controllers' untap steps.|

|markov warlord||creature||vampire warrior|&^^^^/&^^^^|{^^^^^RR}|haste\when @ enters the battlefield, up to two target creatures can't block this turn.|

|pharika's mender||creature||gorgon|&^^^^/&^^^|{^^^BBGG}|when @ enters the battlefield, you may return target creature or enchantment card from your graveyard to your hand.|

|nim deathmantle||artifact||equipment||{^^}|equip {^^^^}\equipped creature gets +&^^/+&^^, has intimidate, and is a black zombie.\whenever a nontoken creature is put into your graveyard from the battlefield, you may pay {^^^^}. if you do, return that card to the battlefield and attach @ to it.|

|martyr of sands||creature||human cleric|&^/&^|{WW}|{^}, reveal X white cards from your hand, sacrifice @: you gain three times X life.|

|retreat to coralhelm||enchantment||||{^^UU}|\landfall ~ whenever a land enters the battlefield under your control, [&^ = you may tap or untap target creature. = scry &^.]|

|treva's attendant||artifact creature||golem|&^^^/&^^^|{^^^^^}|{^}, sacrifice @: add {GGWWUU} to your mana pool.|

|lake of the dead||land|||||if @ would enter the battlefield, sacrifice a swamp instead. if you do, put @ onto the battlefield. if you don't, put it into its owner's graveyard.\T: add {BB} to your mana pool.\T, sacrifice a swamp: add {BBBBBBBB} to your mana pool.|

|abyssal persecutor||creature||demon|&^^^^^^/&^^^^^^|{^^BBBB}|flying\trample\you can't win the game and your opponents can't lose the game.|

|shoreline salvager||creature||surrakar|&^^^/&^^^|{^^^BB}|whenever @ deals combat damage to a player, if you control an island, you may draw a card.|

|dark banishing||instant||||{^^BB}|destroy target nonblack creature. it can't be regenerated.|

|steeling stance||instant||||{^WWWW}|creatures you control get +&^/+&^ until end of turn.\forecast ~ {WW}, reveal @ from your hand: target creature gets +&^/+&^ until end of turn.|

|overgrowth||enchantment||aura||{^^GG}|enchant land\whenever enchanted land is tapped for mana, its controller adds {GGGG} to his or her mana pool .|

|manaforge cinder||creature||elemental shaman|&^/&^|{BR}|{^}: add {BB} or {RR} to your mana pool. activate this ability no more than three times each turn.|

|ardent recruit||creature||human soldier|&^/&^|{WW}|metalcraft ~ @ gets +&^^/+&^^ as long as you control three or more artifacts.|

|blood frenzy||instant||||{^RR}|cast @ only before the combat damage step.\target attacking or blocking creature gets +&^^^^/+& until end of turn. destroy that creature at the beginning of the next end step.|

|court hussar||creature||vedalken knight|&^/&^^^|{^^UU}|vigilance\when @ enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.\when @ enters the battlefield, sacrifice it unless {WW} was spent to cast it.|

|wall of mulch||creature||wall|&/&^^^^|{^GG}|defender\{GG}, sacrifice a wall: draw a card.|

|kird ape||creature||ape|&^/&^|{RR}|@ gets +&^/+&^^ as long as you control a forest.|

|blessing of leeches||enchantment||aura||{^^BB}|enchant creature\flash\at the beginning of your upkeep, you lose &^ life.\{}: regenerate enchanted creature.|

|grinning ignus||creature||elemental|&^^/&^^|{^^RR}|{RR}, return @ to its owner's hand: add {CCCCRR} to your mana pool. activate this ability only any time you could cast a sorcery.|

|nissa, vastwood seer|legendary|creature||elf scout|&^^/&^^|{^^GG}|when @ enters the battlefield, you may search your library for a basic forest card, reveal it, put it into your hand, then shuffle your library.\whenever a land enters the battlefield under your control, if you control seven or more lands, exile @, then return her to the battlefield transformed under her owner's control.|
|nissa, sage animist||planeswalker|&^^^|nissa|||+&^: reveal the top card of your library. if it's a land card, put it onto the battlefield. otherwise, put it into your hand.\-&^^: put a legendary &^^^^/&^^^^ green elemental creature token named ashaya, the awoken world onto the battlefield.\-&^^^^^^^: untap up to six target lands. they become &^^^^^^/&^^^^^^ elemental creatures. they're still lands.|

|kalonian hydra||creature||hydra|&/&|{^^^GGGG}|trample\@ enters the battlefield with four +&^/+&^ counters on it.\whenever @ attacks, double the number of +&^/+&^ counters on each creature you control.|

|brighthearth banneret||creature||elemental warrior|&^/&^|{^RR}|reinforce &^~{^RR}\elemental spells and warrior spells you cast cost {^} less to cast.|

|atarka pummeler||creature||ogre warrior|&^^^^/&^^^^^|{^^^^RR}|formidable ~ {^^^RRRR}: creatures you control gain menace until end of turn. activate this ability only if creatures you control have total power &^^^^^^^^ or greater.|

|zombie master||creature||zombie|&^^/&^^^|{^BBBB}|other zombie creatures have swampwalk.\other zombies have "{BB}: regenerate this permanent."|

|keldon arsonist||creature||human soldier|&^/&^|{^^RR}|{^}, sacrifice two lands: destroy target land.|

|cosi's ravager||creature||elemental|&^^/&^^|{^^^RR}|landfall ~ whenever a land enters the battlefield under your control, you may have @ deal &^ damage to target player.|

|sporogenesis||enchantment||||{^^^GG}|at the beginning of your upkeep, you may put a % counter on target nontoken creature.\whenever a creature with a % counter on it dies, put a &^/&^ green saproling creature token onto the battlefield for each % counter on that creature.\when @ leaves the battlefield, remove all % counters from all creatures.\countertype % fungus|

|purify the grave||instant||||{WW}|flashback {WW}\exile target card from a graveyard.|

|triad of fates|legendary|creature||human wizard|&^^^/&^^^|{^^WWBB}|{^}, T: put a % counter on another target creature.\{WW}, T: exile target creature that has a % counter on it, then return it to the battlefield under its owner's control.\{BB}, T: exile target creature that has a % counter on it. its controller draws two cards.\countertype % fate|

|two~headed sliver||creature||sliver|&^/&^|{^RR}|all sliver creatures have menace.|

|hush||sorcery||||{^^^GG}|cycling {^^}\destroy all enchantments.|

|guardian seraph||creature||angel|&^^^/&^^^^|{^^WWWW}|flying\if a source an opponent controls would deal damage to you, prevent &^ of that damage.|

|squee, goblin nabob|legendary|creature||goblin|&^/&^|{^^RR}|at the beginning of your upkeep, you may return @ from your graveyard to your hand.|

|delif's cone||artifact||||{}|T, sacrifice @: this turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. if you do, it assigns no combat damage this turn.|

|kruphix, god of horizons|legendary|enchantment creature||god|&^^^^/&^^^^^^^|{^^^GGUU}|indestructible\as long as your devotion to green and blue is less than seven, @ isn't a creature.\you have no maximum hand size.\if unused mana would empty from your mana pool, that mana becomes colorless instead.|

|guided passage||sorcery||||{UURRGG}|reveal the cards in your library. an opponent chooses from among them a creature card, a land card, and a noncreature, nonland card. you put the chosen cards into your hand. then shuffle your library.|

|vitality charm||instant||||{GG}|[&^ = put a &^/&^ green insect creature token onto the battlefield. = target creature gets +&^/+&^ and gains trample until end of turn. = regenerate target beast.]|

|wring flesh||instant||||{BB}|target creature gets -&^^^/-&^ until end of turn.|

|tomb hex||instant||||{^^BB}|target creature gets -&^^/-&^^ until end of turn.\landfall ~ if you had a land enter the battlefield under your control this turn, that creature gets -&^^^^/-&^^^^ until end of turn instead.|

|mental discipline||enchantment||||{^UUUU}|{^UU}, discard a card: draw a card.|

|jori en, ruin diver|legendary|creature||merfolk wizard|&^^/&^^^|{^UURR}|whenever you cast your second spell each turn, draw a card.|

|amulet of quoz||artifact||||{^^^^^^}|remove @ from your deck before playing if you're not playing for ante.\T, sacrifice @: target opponent may ante the top card of his or her library. if he or she doesn't, you flip a coin. if you win the flip, that player loses the game. if you lose the flip, you lose the game. activate this ability only during your upkeep.|

|bonded fetch||creature||homunculus|&/&^^|{^^UU}|defender\haste\T: draw a card, then discard a card.|

|arbiter of the ideal||creature||sphinx|&^^^^/&^^^^^|{^^^^UUUU}|flying\inspired ~ whenever @ becomes untapped, reveal the top card of your library. if it's an artifact, creature, or land card, you may put it onto the battlefield with a % counter on it. that permanent is an enchantment in addition to its other types.\countertype % manifestation|

|clear a path||sorcery||||{RR}|destroy target creature with defender.|

|slip through space||sorcery||||{UU}|devoid\target creature can't be blocked this turn.\draw a card.|

|prey upon||sorcery||||{GG}|target creature you control fights target creature you don't control.|

|river kelpie||creature||beast|&^^^/&^^^|{^^^UUUU}|persist\whenever @ or another permanent enters the battlefield from a graveyard, draw a card.\whenever a player casts a spell from a graveyard, draw a card.|

|phantom wings||enchantment||aura||{^UU}|enchant creature\enchanted creature has flying.\sacrifice @: return enchanted creature to its owner's hand.|

|ishi~ishi, akki crackshot|legendary|creature||goblin warrior|&^/&^|{^RR}|whenever an opponent casts a spirit or arcane spell, @ deals &^^ damage to that player.|

|boris devilboon|legendary|creature||zombie wizard|&^^/&^^|{^^^BBRR}|{^^BBRR}, T: put a &^/&^ black and red demon creature token named minor demon onto the battlefield.|

|elvish guidance||enchantment||aura||{^^GG}|enchant land\whenever enchanted land is tapped for mana, its controller adds {GG} to his or her mana pool for each elf on the battlefield .|

|dauthi embrace||enchantment||||{^^BB}|{BBBB}: target creature gains shadow until end of turn.|

|brutal deceiver||creature||spirit|&^^/&^^|{^^RR}|{^}: look at the top card of your library.\{^^}: reveal the top card of your library. if it's a land card, @ gets +&^/+& and gains first strike until end of turn. activate this ability only once each turn.|

|resupply||instant||||{^^^^^WW}|you gain &^^^^^^ life.\draw a card.|

|thran foundry||artifact||||{^}|{^}, T, exile @: target player shuffles his or her graveyard into his or her library.|

|tower defense||instant||||{^GG}|creatures you control get +&/+&^^^^^ and gain reach until end of turn.|

|wild ox||creature||ox|&^^^/&^^^|{^^^GG}|swampwalk|

|apothecary initiate||creature||kithkin cleric|&^/&^|{WW}|whenever a player casts a white spell, you may pay {^}. if you do, you gain &^ life.|

|hellkite overlord||creature||dragon|&^^^^^^^^/&^^^^^^^^|{^^^^BBRRRRGG}|flying\trample\haste\{RR}: @ gets +&^/+& until end of turn.\{BBGG}: regenerate @.|

|kragma warcaller||creature||minotaur warrior|&^^/&^^^|{^^^BBRR}|minotaur creatures you control have haste.\whenever a minotaur you control attacks, it gets +&^^/+& until end of turn.|

|lumithread field||enchantment||||{^WW}|morph {^WW}\creatures you control get +&/+&^.|

|stalwart shield~bearers||creature||human soldier|&/&^^^|{^WW}|defender\other creatures you control with defender get +&/+&^^.|

|cinderbones||creature||elemental skeleton|&^/&^|{^^BB}|wither\{^BB}: regenerate @.|

|fallen ideal||enchantment||aura||{^^BB}|enchant creature\enchanted creature has flying and "sacrifice a creature: this creature gets +&^^/+&^ until end of turn."\when @ is put into a graveyard from the battlefield, return @ to its owner's hand.|

|cinder shade||creature||shade|&^/&^|{^BBRR}|{BB}: @ gets +&^/+&^ until end of turn.\{RR}, sacrifice @: @ deals damage equal to its power to target creature.|

|thelon of havenwood|legendary|creature||elf druid|&^^/&^^|{GGGG}|each fungus creature gets +&^/+&^ for each % counter on it.\{BBGG}, exile a fungus card from a graveyard: put a % counter on each fungus on the battlefield.\countertype % spore|

|villagers of estwald||creature||human werewolf|&^^/&^^^|{^^GG}|at the beginning of each upkeep, if no spells were cast last turn, transform @.|
|howlpack of estwald||creature||werewolf|&^^^^/&^^^^^^||at the beginning of each upkeep, if a player cast two or more spells last turn, transform @.|

|zuran orb||artifact||||{}|sacrifice a land: you gain &^^ life.|

|mental vapors||sorcery||||{^^^BB}|cipher\target player discards a card.|

|retreat to kazandu||enchantment||||{^^GG}|landfall ~ whenever a land enters the battlefield under your control, [&^ = put a +&^/+&^ counter on target creature. = you gain &^^ life.]|

|dispense justice||instant||||{^^WW}|target player sacrifices an attacking creature.\metalcraft ~ that player sacrifices two attacking creatures instead if you control three or more artifacts.|

|sea drake||creature||drake|&^^^^/&^^^|{^^UU}|flying\when @ enters the battlefield, return two target lands you control to their owner's hand.|

|tunneling geopede||creature||insect|&^^^/&^^|{^^RR}|landfall ~ whenever a land enters the battlefield under your control, @ deals &^ damage to each opponent.|

|cloud key||artifact||||{^^^}|as @ enters the battlefield, choose artifact, creature, enchantment, instant, or sorcery.\spells you cast of the chosen type cost {^} less to cast.|

|rebuke||instant||||{^^WW}|destroy target attacking creature.|

|woodland druid||creature||human druid|&^/&^^|{GG}||

|divination||sorcery||||{^^UU}|draw two cards.|

|druid lyrist||creature||human druid|&^/&^|{GG}|{GG}, T, sacrifice @: destroy target enchantment.|

|vector asp||artifact creature||snake|&^/&^|{^}|{BB}: @ gains infect until end of turn.|

|rishadan brigand||creature||human pirate|&^^^/&^^|{^^^^UU}|flying\when @ enters the battlefield, each opponent sacrifices a permanent unless he or she pays {^^^}.\@ can block only creatures with flying.|

|bloodcurdler||creature||horror|&^/&^|{^BB}|flying\at the beginning of your upkeep, put the top card of your library into your graveyard.\threshold ~ as long as seven or more cards are in your graveyard, @ gets +&^/+&^ and has "at the beginning of your end step, exile two cards from your graveyard."|

|blighted agent||creature||human rogue|&^/&^|{^UU}|infect\@ can't be blocked.|

|goblin wardriver||creature||goblin warrior|&^^/&^^|{RRRR}|battle cry|

|vanishment||instant||||{^^^^UU}|miracle {UU}\put target nonland permanent on top of its owner's library.|

|dark ritual||instant||||{BB}|add {BBBBBB} to your mana pool.|

|oreskos sun guide||creature||cat monk|&^^/&^^|{^WW}|inspired ~ whenever @ becomes untapped, you gain &^^ life.|

|marshaling cry||sorcery||||{^WWWW}|cycling {^^}\flashback {^^^WW}\creatures you control get +&^/+&^ and gain vigilance until end of turn.|

|fangren hunter||creature||beast|&^^^^/&^^^^|{^^^GGGG}|trample|

|silvos, rogue elemental|legendary|creature||elemental|&^^^^^^^^/&^^^^^|{^^^GGGGGG}|trample\{GG}: regenerate @.|

|indentured oaf||creature||ogre warrior|&^^^^/&^^^|{^^^RR}|prevent all damage that @ would deal to red creatures.|

|dirtcowl wurm||creature||wurm|&^^^/&^^^^|{^^^^GG}|whenever an opponent plays a land, put a +&^/+&^ counter on @.|

|desecration demon||creature||demon|&^^^^^^/&^^^^^^|{^^BBBB}|flying\at the beginning of each combat, any opponent may sacrifice a creature. if a player does, tap @ and put a +&^/+&^ counter on it.|

|gwyllion hedge~mage||creature||hag wizard|&^^/&^^|{^^WB}|when @ enters the battlefield, if you control two or more plains, you may put a &^/&^ white kithkin soldier creature token onto the battlefield.\when @ enters the battlefield, if you control two or more swamps, you may put a -&^/-&^ counter on target creature.|

|wood elemental||creature||elemental|*/*|{^^^GG}|as @ enters the battlefield, sacrifice any number of untapped forests.\@'s power and toughness are each equal to the number of forests sacrificed as it entered the battlefield.|

|nature's kiss||enchantment||aura||{^GG}|enchant creature\{^}, exile the top card of your graveyard: enchanted creature gets +&^/+&^ until end of turn.|

|benalish emissary||creature||human wizard|&^/&^^^^|{^^WW}|when @ enters the battlefield, if it was kicked, destroy target land.\kicker {^GG}|

